,Unnamed: 0,SegId,Mean,Min,Max,Variance,Count,Volume,x,y,z,StructName,sub,ses,run,acq,rec,site,date,side,StructNameNoSide
93,11,17,0.344057011,0.268794358,0.446151584,0.001060271,181,3900.862061,110.1519337,99.48895028,-109.563731,Left-Hippocampus,cgQOhz,1,1,R4,LLRv1,repeat,20240709,Left,Hippocampus
94,15,18,0.362466214,0.273676693,0.434304625,0.001287866,76,1637.93103,109.0460526,81.41447368,-113.5662477,Left-Amygdala,cgQOhz,1,1,R4,LLRv1,repeat,20240709,Left,Amygdala
95,25,24,0.378571809,0,10,0.042870392,15831,341185.3438,83.05350262,96.42647338,-87.32866394,CSF,cgQOhz,1,1,R4,LLRv1,repeat,20240709,,None
96,31,26,0.353148852,0.314197838,0.391072065,0.000481517,23,495.6896362,98.26086957,64.23913043,-102.2488803,Left-Accumbens-area,cgQOhz,1,1,R4,LLRv1,repeat,20240709,Left,Accumbens-area
97,6,28,0.285942258,0.24831067,0.346562326,0.000502553,150,3232.758545,97.61666667,92.2,-106.6436828,Left-VentralDC,cgQOhz,1,1,R4,LLRv1,repeat,20240709,Left,VentralDC
98,8,31,0.33508657,0.280049026,0.423647612,0.001608703,29,625,103.362069,106.3793103,-93.22235922,Left-choroid-plexus,cgQOhz,1,1,R4,LLRv1,repeat,20240709,Left,choroid-plexus
99,2,41,0.287251809,0.213332534,0.442922622,0.000927326,9272,199827.5781,64.15525237,95.95179034,-83.0037092,Right-Cerebral-White-Matter,cgQOhz,1,1,R4,LLRv1,repeat,20240709,Right,Cerebral-White-Matter
100,19,42,0.338279208,0,0.520907164,0.001056746,8577,184849.125,59.74379154,95.14807042,-89.5377824,Right-Cerebral-Cortex,cgQOhz,1,1,R4,LLRv1,repeat,20240709,Right,Cerebral-Cortex
101,13,43,0.410606765,0.251812816,3.669678688,0.042667303,460,9913.792969,76.78804348,90.97282609,-88.17091951,Right-Lateral-Ventricle,cgQOhz,1,1,R4,LLRv1,repeat,20240709,Right,Lateral-Ventricle
102,33,44,0.337914435,0.284209907,0.443520129,0.001635281,14,301.7241211,61.42857143,83.21428571,-119.7044379,Right-Inf-Lat-Vent,cgQOhz,1,1,R4,LLRv1,repeat,20240709,Right,Inf-Lat-Vent
103,10,46,0.301917722,0.232633844,0.428522557,0.000725103,840,18103.44727,71.01488095,124.9196429,-129.2692982,Right-Cerebellum-White-Matter,cgQOhz,1,1,R4,LLRv1,repeat,20240709,Right,Cerebellum-White-Matter
104,16,47,0.327862088,0,0.490472168,0.001095356,2037,43900.85938,67.74177712,132.7896416,-133.4196714,Right-Cerebellum-Cortex,cgQOhz,1,1,R4,LLRv1,repeat,20240709,Right,Cerebellum-Cortex
105,0,49,0.299255041,0.251123965,0.38365078,0.000566299,218,4698.275879,79.25458716,95.02293578,-94.89086218,Right-Thalamus,cgQOhz,1,1,R4,LLRv1,repeat,20240709,Right,Thalamus
106,37,50,0.323281074,0.260704458,0.428907156,0.000925582,137,2952.586182,77.7919708,68.95985401,-90.33476456,Right-Caudate,cgQOhz,1,1,R4,LLRv1,repeat,20240709,Right,Caudate
107,36,51,0.295062573,0.251735896,0.368560165,0.000551913,246,5301.724121,68.44512195,74.9695122,-100.154196,Right-Putamen,cgQOhz,1,1,R4,LLRv1,repeat,20240709,Right,Putamen
108,21,52,0.27654863,0.240214303,0.311178207,0.000241941,68,1465.517212,72.24264706,79.77941176,-100.2028445,Right-Pallidum,cgQOhz,1,1,R4,LLRv1,repeat,20240709,Right,Pallidum
109,24,53,0.338884685,0.276082337,0.441168576,0.000833545,181,3900.862061,66.33977901,95.70441989,-112.0594445,Right-Hippocampus,cgQOhz,1,1,R4,LLRv1,repeat,20240709,Right,Hippocampus
110,5,54,0.346776972,0.27405569,0.416558117,0.000877471,83,1788.793091,70.42168675,79.69879518,-115.6626551,Right-Amygdala,cgQOhz,1,1,R4,LLRv1,repeat,20240709,Right,Amygdala
111,23,58,0.350372576,0.302782744,0.374611676,0.00032775,17,366.379303,83.38235294,64.11764706,-103.4482806,Head-ExtraCerebral,cgQOhz,1,1,R4,LLRv1,repeat,20240709,,None
112,38,60,0.291088285,0.245143116,0.388420999,0.000642649,155,3340.51709,79.80645161,90.69354839,-107.5417177,Right-VentralDC,cgQOhz,1,1,R4,LLRv1,repeat,20240709,Right,VentralDC
113,27,63,0.340451123,0.28303358,0.458494395,0.00178428,41,883.6206665,72.92682927,108.7804878,-93.18755745,Right-choroid-plexus,cgQOhz,1,1,R4,LLRv1,repeat,20240709,Right,choroid-plexus
114,14,77,0.27172523,0.244448647,0.313043773,0.000356271,19,409.4827576,101.0526316,85.13157895,-82.21416115,WM-hypointensities,cgQOhz,1,1,R4,LLRv1,repeat,20240709,,None
115,17,165,0.056262318,0,10,0.030069821,13874,299008.625,89.33076258,94.46626784,-93.42755231,,cgQOhz,1,1,R4,LLRv1,repeat,20240709,,None
116,30,258,0.007707687,0,10,0.0076054,37753,813642.1875,87.43623023,88.91068259,-108.6549916,,cgQOhz,1,1,R4,LLRv1,repeat,20240709,,None
117,1,259,0,0,0,0,723,15581.89648,94.82019364,19.31881051,-124.228554,,cgQOhz,1,1,R4,LLRv1,repeat,20240709,,None
118,24,0,4.33E-05,0,0.73626405,1.66E-05,251027,5410064.5,0,0,0,Unknown,jVF2cD,1,1,R4,LLRv1,repeat,20240709,,None
119,0,2,0.285207622,0.221482202,0.445731521,0.000912948,9504,204827.5781,116.1358375,102.0430871,-86.24354674,Left-Cerebral-White-Matter,jVF2cD,1,1,R4,LLRv1,repeat,20240709,Left,Cerebral-White-Matter
120,20,3,0.336333693,0,0.534257352,0.001175594,9330,201077.5781,120.2510718,101.9391747,-92.08042771,Left-Cerebral-Cortex,jVF2cD,1,1,R4,LLRv1,repeat,20240709,Left,Cerebral-Cortex
121,33,4,0.38700824,0.245990023,1.449466348,0.014849354,514,11077.58594,103.1663424,96.55155642,-90.99691891,Left-Lateral-Ventricle,jVF2cD,1,1,R4,LLRv1,repeat,20240709,Left,Lateral-Ventricle
122,18,5,0.332477206,0.306984991,0.352607995,0.000308946,5,107.7586212,123,87,-122.0689699,Left-Inf-Lat-Vent,jVF2cD,1,1,R4,LLRv1,repeat,20240709,Left,Inf-Lat-Vent
123,38,7,0.302842344,0.222412452,0.389771074,0.000685994,807,17392.24023,110.551425,126.3847584,-135.9868435,Left-Cerebellum-White-Matter,jVF2cD,1,1,R4,LLRv1,repeat,20240709,Left,Cerebellum-White-Matter
124,37,8,0.324350703,0,0.557955444,0.001406622,2311,49806.03125,113.2680658,135.0378624,-139.49179,Left-Cerebellum-Cortex,jVF2cD,1,1,R4,LLRv1,repeat,20240709,Left,Cerebellum-Cortex
125,29,10,0.293948633,0.234788582,0.385769725,0.000700021,233,5021.551758,101.7703863,100.27897,-98.81604741,Left-Thalamus,jVF2cD,1,1,R4,LLRv1,repeat,20240709,Left,Thalamus
