,LabelValue,Mean,Median,Min,Max,Variance,Count,Session,Subject,Acquisition,Quant,Segmentation,Run,Reconstruction,site,date,sub,ses,rec,run
38,11.0,0.0317759903322439,0.0010000000474974,0.0010000000474974,0.0930253118276596,0.0017622446676665,20,1,P0010,R4,T1,T2mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
39,12.0,0.1021704865353448,0.102106973528862,0.0941233560442924,0.1108432337641716,2.151185536744972e-05,21,1,P0010,R4,T1,T2mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
40,13.0,4.50538921393454,2.989822566509247,0.0593867227435112,10.0,17.813376075287007,20,1,P0010,R4,T1,T2mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
41,14.0,3.86186515099623,1.370560884475708,0.1122454032301902,10.0,17.80887458984042,22,1,P0010,R4,T1,T2mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
42,1.0,950.1407322096868,999.999952502551,2.8155466452640665,999.999952502551,47232.89511603514,20,1,P0010,R4,R1,T2mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
43,2.0,52.99119267792575,2.988644877517684,1.9097603467735005,999.999952502551,47202.54482515004,20,1,P0010,R4,R1,T2mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
44,3.0,2.57283444217689,2.559895967991785,1.992687831303693,3.3055697552044023,0.1148572293288463,20,1,P0010,R4,R1,T2mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
45,4.0,999.9999525025512,999.999952502551,999.999952502551,999.999952502551,1.1632227364026952e-25,21,1,P0010,R4,R1,T2mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
46,5.0,999.9999525025512,999.999952502551,999.999952502551,999.999952502551,5.169878828456423e-26,19,1,P0010,R4,R1,T2mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
47,6.0,3.2721351674389147,3.1303196840470515,2.695640668350249,4.2222417822025,0.237358019843584,20,1,P0010,R4,R1,T2mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
48,7.0,3.598047800102507,3.5065905320085147,3.056364765342724,4.426188414771808,0.167606697506503,20,1,P0010,R4,R1,T2mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
49,8.0,999.9999525025512,999.999952502551,999.999952502551,999.999952502551,5.169878828456423e-26,20,1,P0010,R4,R1,T2mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
50,9.0,15.10452526191892,14.905464196684385,14.161906611924376,15.985612467035518,0.2528795231530881,19,1,P0010,R4,R1,T2mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
51,10.0,435.47564076033433,12.611663834741748,11.638448284682894,999.999952502551,239015.852744612,21,1,P0010,R4,R1,T2mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
52,11.0,653.94025156937,999.999952502551,10.7497624071674,999.999952502551,222406.49845094787,20,1,P0010,R4,R1,T2mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
53,12.0,9.808075272767658,9.79365037900507,9.021750503306183,10.62435554815344,0.20467597746776,21,1,P0010,R4,R1,T2mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
54,13.0,3.609213906917096,0.4107152459441884,0.1,16.838780687039403,32.54763884885298,20,1,P0010,R4,R1,T2mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
55,14.0,1.4609234202149075,0.7382090468173222,0.1,8.909050804951212,5.70106470154543,22,1,P0010,R4,R1,T2mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
56,1.0,0.0010135605325922,0.0010000000474974,0.0010000000474974,0.001339012174867,4.4132821441417185e-09,25,1,P0010,R4,T1,T1mimics,1,LLRv1,Leiden,20245205,P0010,01,LLRv1,01
57,2.0,0.3973528023433083,0.392195463180542,0.0010000000474974,0.8823262453079224,0.0789628620869539,26,1,P0010,R4,T1,T1mimics,1,LLRv1,Leiden,20245205,P0010,01,LLRv1,01
58,3.0,0.2800441932146593,0.322694793343544,0.0010000000474974,0.5462421774864197,0.0287268058327282,24,1,P0010,R4,T1,T1mimics,1,LLRv1,Leiden,20245205,P0010,01,LLRv1,01
