,LabelValue,Mean,Median,Min,Max,Variance,Count,Session,Subject,Acquisition,Quant,Segmentation,Run,Reconstruction,site,date,sub,ses,rec,run
780,11,11.35737201,11.43659703,10.82828225,11.64138481,0.048879315,16,6,P0010,R4,R1,T2mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
781,12,15.13046846,14.86167929,12.4798673,18.91054535,2.323835943,17,6,P0010,R4,R1,T2mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
782,13,20.12551234,20.2147629,15.93328374,24.70354199,4.576025908,16,6,P0010,R4,R1,T2mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
783,14,25.18433932,24.33569048,14.95954023,40.69553121,32.59700038,18,6,P0010,R4,R1,T2mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
784,1,0.453861528,0.450645536,0.345929563,0.564358532,0.004824728,22,5,P0010,R4,T1,T1mimics,1,CGv2,Leiden,20240705,P0010,5,CGv2,1
785,2,0.445858147,0.444278806,0.34573856,0.572724938,0.004421693,23,5,P0010,R4,T1,T1mimics,1,CGv2,Leiden,20240705,P0010,5,CGv2,1
786,3,0.507928612,0.490086794,0.397385359,0.662421942,0.006254621,24,5,P0010,R4,T1,T1mimics,1,CGv2,Leiden,20240705,P0010,5,CGv2,1
787,4,0.447214801,0.451097772,0.348011851,0.542178273,0.002913649,22,5,P0010,R4,T1,T1mimics,1,CGv2,Leiden,20240705,P0010,5,CGv2,1
788,5,0.340996277,0.349774301,0.235080406,0.393662214,0.001966625,24,5,P0010,R4,T1,T1mimics,1,CGv2,Leiden,20240705,P0010,5,CGv2,1
789,6,0.283245902,0.2809809,0.25720191,0.309501201,0.000204618,22,5,P0010,R4,T1,T1mimics,1,CGv2,Leiden,20240705,P0010,5,CGv2,1
790,7,0.227968578,0.232323557,0.195723474,0.249615073,0.000199517,24,5,P0010,R4,T1,T1mimics,1,CGv2,Leiden,20240705,P0010,5,CGv2,1
791,8,0.185026089,0.18489556,0.177238077,0.190970495,1.11E-05,22,5,P0010,R4,T1,T1mimics,1,CGv2,Leiden,20240705,P0010,5,CGv2,1
792,9,0.139558808,0.139368564,0.136988372,0.145853221,4.65E-06,22,5,P0010,R4,T1,T1mimics,1,CGv2,Leiden,20240705,P0010,5,CGv2,1
793,10,0.104943828,0.104216304,0.09955772,0.114660338,2.06E-05,22,5,P0010,R4,T1,T1mimics,1,CGv2,Leiden,20240705,P0010,5,CGv2,1
794,11,0.083071658,0.081758119,0.07634569,0.093236767,2.35E-05,23,5,P0010,R4,T1,T1mimics,1,CGv2,Leiden,20240705,P0010,5,CGv2,1
795,12,0.065862493,0.066037867,0.057199083,0.081100509,3.75E-05,24,5,P0010,R4,T1,T1mimics,1,CGv2,Leiden,20240705,P0010,5,CGv2,1
796,13,0.051366487,0.050553549,0.042882092,0.063221112,3.79E-05,20,5,P0010,R4,T1,T1mimics,1,CGv2,Leiden,20240705,P0010,5,CGv2,1
797,14,0.045305007,0.044619091,0.033252452,0.06304206,5.97E-05,22,5,P0010,R4,T1,T1mimics,1,CGv2,Leiden,20240705,P0010,5,CGv2,1
798,1,2.257467085,2.219141639,1.771923241,2.890761897,0.127872821,22,5,P0010,R4,R1,T1mimics,1,CGv2,Leiden,20240705,P0010,5,CGv2,1
799,2,2.293389736,2.250838855,1.746038863,2.892358897,0.117259008,23,5,P0010,R4,R1,T1mimics,1,CGv2,Leiden,20240705,P0010,5,CGv2,1
