,LabelValue,Mean,Median,Min,Max,Variance,Count,Session,Subject,Acquisition,Quant,Segmentation,Run,Reconstruction,sub,ses,rec,run
113,2.0,0.4646675058386542,0.4668876379728317,0.3415668904781341,0.6126374006271362,0.0053944263139525,22,20240214,P0009,R4,T1,T1mimics,1,CGv2,P0009,20240214,CGv2,01
114,3.0,0.5186540917916731,0.5121308267116547,0.3769994676113128,0.679136335849762,0.0075509414326904,22,20240214,P0009,R4,T1,T1mimics,1,CGv2,P0009,20240214,CGv2,01
115,4.0,0.4479350610212846,0.4447701871395111,0.3618853986263275,0.5331354141235352,0.0028558381041521,22,20240214,P0009,R4,T1,T1mimics,1,CGv2,P0009,20240214,CGv2,01
116,5.0,0.3399453867565501,0.3490489870309829,0.253028005361557,0.3922009468078613,0.0016641422011251,22,20240214,P0009,R4,T1,T1mimics,1,CGv2,P0009,20240214,CGv2,01
117,6.0,0.2803643054018418,0.2870325446128845,0.2354319840669632,0.3110448122024536,0.0005316330705376,24,20240214,P0009,R4,T1,T1mimics,1,CGv2,P0009,20240214,CGv2,01
118,7.0,0.2310361970554698,0.2321870028972625,0.2109863758087158,0.2462717741727829,0.0001081496449195,22,20240214,P0009,R4,T1,T1mimics,1,CGv2,P0009,20240214,CGv2,01
119,8.0,0.1845676817677237,0.1857465207576751,0.1677739173173904,0.1913975179195404,3.01733178874452e-05,22,20240214,P0009,R4,T1,T1mimics,1,CGv2,P0009,20240214,CGv2,01
120,9.0,0.140468009788057,0.1400931924581527,0.1380323022603988,0.1435641497373581,2.780896183683617e-06,23,20240214,P0009,R4,T1,T1mimics,1,CGv2,P0009,20240214,CGv2,01
121,10.0,0.1051442076762517,0.1035254187881946,0.0981183871626854,0.1173736304044723,3.049680727171113e-05,24,20240214,P0009,R4,T1,T1mimics,1,CGv2,P0009,20240214,CGv2,01
122,11.0,0.0822742581367492,0.0818466879427433,0.0760809630155563,0.0946499407291412,2.878950887926577e-05,22,20240214,P0009,R4,T1,T1mimics,1,CGv2,P0009,20240214,CGv2,01
123,12.0,0.0665318198840726,0.065920703113079,0.0592897944152355,0.0796758830547332,2.599501359197143e-05,22,20240214,P0009,R4,T1,T1mimics,1,CGv2,P0009,20240214,CGv2,01
124,13.0,0.0513214289787269,0.0525518432259559,0.0415682308375835,0.0614395178854465,3.397956867830908e-05,21,20240214,P0009,R4,T1,T1mimics,1,CGv2,P0009,20240214,CGv2,01
125,14.0,0.0436903965574773,0.0424882173538208,0.0302258599549531,0.0684880763292312,7.033813371359398e-05,22,20240214,P0009,R4,T1,T1mimics,1,CGv2,P0009,20240214,CGv2,01
126,1.0,2.161834017739826,2.1814852190253435,1.6529770297576372,2.844840429347143,0.1156847017784649,21,20240214,P0009,R4,R1,T1mimics,1,CGv2,P0009,20240214,CGv2,01
127,2.0,2.2071799646254795,2.1444566858205563,1.6322868942972364,2.927684233680185,0.1252546361613697,22,20240214,P0009,R4,R1,T1mimics,1,CGv2,P0009,20240214,CGv2,01
128,3.0,1.9834187494659177,1.9532846955264496,1.472458396367146,2.652523639717714,0.1122338484424115,22,20240214,P0009,R4,R1,T1mimics,1,CGv2,P0009,20240214,CGv2,01
129,4.0,2.2654385571700755,2.2484073600035,1.875696068031762,2.7633057420826512,0.0772716143221062,22,20240214,P0009,R4,R1,T1mimics,1,CGv2,P0009,20240214,CGv2,01
130,5.0,2.98909389766762,2.8655437578393905,2.54971337560258,3.9521316961380575,0.1586107876935484,22,20240214,P0009,R4,R1,T1mimics,1,CGv2,P0009,20240214,CGv2,01
131,6.0,3.592358406252227,3.48403428540848,3.214970836257245,4.247511246031776,0.0973078999991686,24,20240214,P0009,R4,R1,T1mimics,1,CGv2,P0009,20240214,CGv2,01
