,LabelValue,Mean,Median,Min,Max,Variance,Count,Session,Subject,Acquisition,Quant,Segmentation,Run,Reconstruction,sub,ses,rec,run
952,1,1.565291554,1.433217645,0.760501564,3.80012536,0.427415484,24,280224.00,P0004,R4,T1,T1mimics,1,LLRv1,P0004,280224,LLRv1,1
953,2,1.467689919,1.335693479,0.771054626,3.840344667,0.369263885,24,280224.00,P0004,R4,T1,T1mimics,1,LLRv1,P0004,280224,LLRv1,1
954,3,0.977816174,0.939225882,0.642392099,1.408488393,0.039178467,24,280224.00,P0004,R4,T1,T1mimics,1,LLRv1,P0004,280224,LLRv1,1
955,4,0.678050026,0.671836555,0.540434062,0.831049681,0.005664046,23,280224.00,P0004,R4,T1,T1mimics,1,LLRv1,P0004,280224,LLRv1,1
956,5,0.484262392,0.484968171,0.39892441,0.561207592,0.001496524,24,280224.00,P0004,R4,T1,T1mimics,1,LLRv1,P0004,280224,LLRv1,1
957,6,0.361256284,0.361569762,0.320252776,0.386346847,0.000178213,24,280224.00,P0004,R4,T1,T1mimics,1,LLRv1,P0004,280224,LLRv1,1
958,7,0.262646214,0.265872151,0.230002552,0.279835343,0.000173953,25,280224.00,P0004,R4,T1,T1mimics,1,LLRv1,P0004,280224,LLRv1,1
959,8,0.195478449,0.193428546,0.184321076,0.207188085,3.83E-05,24,280224.00,P0004,R4,T1,T1mimics,1,LLRv1,P0004,280224,LLRv1,1
960,9,0.140083327,0.140506253,0.134612516,0.143918321,5.37E-06,26,280224.00,P0004,R4,T1,T1mimics,1,LLRv1,P0004,280224,LLRv1,1
961,10,0.099897858,0.100295581,0.091610834,0.104265966,1.43E-05,25,280224.00,P0004,R4,T1,T1mimics,1,LLRv1,P0004,280224,LLRv1,1
962,11,0.073299905,0.072621562,0.065944292,0.081418172,1.33E-05,24,280224.00,P0004,R4,T1,T1mimics,1,LLRv1,P0004,280224,LLRv1,1
963,12,0.054320621,0.054937679,0.047588427,0.059214506,7.61E-06,22,280224.00,P0004,R4,T1,T1mimics,1,LLRv1,P0004,280224,LLRv1,1
964,13,0.039251765,0.038478222,0.034591511,0.046899009,1.42E-05,24,280224.00,P0004,R4,T1,T1mimics,1,LLRv1,P0004,280224,LLRv1,1
965,14,0.013458398,0.001000001,0.001,0.038580928,0.000250197,26,280224.00,P0004,R4,T1,T1mimics,1,LLRv1,P0004,280224,LLRv1,1
966,1,0.725686486,0.698748618,0.263149214,1.314921688,0.055190906,24,280224.00,P0004,R4,R1,T1mimics,1,LLRv1,P0004,280224,LLRv1,1
967,2,0.760574064,0.748676743,0.260393295,1.296924974,0.048608002,24,280224.00,P0004,R4,R1,T1mimics,1,LLRv1,P0004,280224,LLRv1,1
968,3,1.064455996,1.06480576,0.709981002,1.556681662,0.044922688,24,280224.00,P0004,R4,R1,T1mimics,1,LLRv1,P0004,280224,LLRv1,1
969,4,1.493479961,1.488457263,1.203297496,1.850364493,0.028823935,23,280224.00,P0004,R4,R1,T1mimics,1,LLRv1,P0004,280224,LLRv1,1
970,5,2.078609976,2.062039618,1.78187183,2.506740561,0.029407113,24,280224.00,P0004,R4,R1,T1mimics,1,LLRv1,P0004,280224,LLRv1,1
971,6,2.772041246,2.765720417,2.588347772,3.122533431,0.011321216,24,280224.00,P0004,R4,R1,T1mimics,1,LLRv1,P0004,280224,LLRv1,1
972,7,3.817589202,3.76120627,3.573530019,4.34777784,0.041267342,25,280224.00,P0004,R4,R1,T1mimics,1,LLRv1,P0004,280224,LLRv1,1
973,8,5.120724091,5.169963234,4.826532382,5.42531556,0.025708453,24,280224.00,P0004,R4,R1,T1mimics,1,LLRv1,P0004,280224,LLRv1,1
974,9,7.1405867,7.117121206,6.948385697,7.428729756,0.014310106,26,280224.00,P0004,R4,R1,T1mimics,1,LLRv1,P0004,280224,LLRv1,1
975,10,10.02509827,9.970529018,9.590857333,10.91573951,0.154173709,25,280224.00,P0004,R4,R1,T1mimics,1,LLRv1,P0004,280224,LLRv1,1
976,11,13.67659521,13.77019136,12.28227042,15.16431483,0.468175316,24,280224.00,P0004,R4,R1,T1mimics,1,LLRv1,P0004,280224,LLRv1,1
977,12,18.45818198,18.20244934,16.88775374,21.01351255,0.934201793,22,280224.00,P0004,R4,R1,T1mimics,1,LLRv1,P0004,280224,LLRv1,1
978,13,25.70226273,25.98937508,21.32241194,28.90882688,5.555526442,24,280224.00,P0004,R4,R1,T1mimics,1,LLRv1,P0004,280224,LLRv1,1
979,14,626.9497449,999.999254,25.91954242,999.9996033,222666.9695,26,280224.00,P0004,R4,R1,T1mimics,1,LLRv1,P0004,280224,LLRv1,1
980,1,1.543608222,1.257750154,0.796782017,5.95439291,1.225751813,18,280224.00,P0004,R4,T1,T2mimics,1,LLRv1,P0004,280224,LLRv1,1
981,2,1.33172645,1.301934302,0.903682709,1.998096347,0.075100664,20,280224.00,P0004,R4,T1,T2mimics,1,LLRv1,P0004,280224,LLRv1,1
982,3,0.93488628,0.91527915,0.743218601,1.397840977,0.031021958,18,280224.00,P0004,R4,T1,T2mimics,1,LLRv1,P0004,280224,LLRv1,1
983,4,0.698591957,0.684409559,0.577207983,0.834446609,0.004026043,19,280224.00,P0004,R4,T1,T2mimics,1,LLRv1,P0004,280224,LLRv1,1
984,5,0.475971178,0.473767698,0.382368714,0.549614608,0.001051386,21,280224.00,P0004,R4,T1,T2mimics,1,LLRv1,P0004,280224,LLRv1,1
985,6,0.429031128,0.435747206,0.381914049,0.468866497,0.000579993,17,280224.00,P0004,R4,T1,T2mimics,1,LLRv1,P0004,280224,LLRv1,1
986,7,0.315817844,0.322184861,0.248392761,0.337785155,0.000467499,21,280224.00,P0004,R4,T1,T2mimics,1,LLRv1,P0004,280224,LLRv1,1
987,8,0.231288311,0.23397661,0.213904276,0.246991158,9.50E-05,18,280224.00,P0004,R4,T1,T2mimics,1,LLRv1,P0004,280224,LLRv1,1
988,9,0.163270403,0.159646623,0.148553327,0.198067576,0.000151469,16,280224.00,P0004,R4,T1,T2mimics,1,LLRv1,P0004,280224,LLRv1,1
989,10,0.115577684,0.116451181,0.110161208,0.123437956,1.16E-05,21,280224.00,P0004,R4,T1,T2mimics,1,LLRv1,P0004,280224,LLRv1,1
990,11,0.088393812,0.087940872,0.079669915,0.09901955,1.94E-05,21,280224.00,P0004,R4,T1,T2mimics,1,LLRv1,P0004,280224,LLRv1,1
991,12,0.064336697,0.065705337,0.048191771,0.077107802,5.16E-05,20,280224.00,P0004,R4,T1,T2mimics,1,LLRv1,P0004,280224,LLRv1,1
992,13,0.051197006,0.051463977,0.042191435,0.061571758,2.82E-05,21,280224.00,P0004,R4,T1,T2mimics,1,LLRv1,P0004,280224,LLRv1,1
993,14,0.038030003,0.039298004,0.002825291,0.052279644,0.000111886,18,280224.00,P0004,R4,T1,T2mimics,1,LLRv1,P0004,280224,LLRv1,1
994,1,0.785708488,0.79508702,0.167943234,1.255048406,0.058889205,18,280224.00,P0004,R4,R1,T2mimics,1,LLRv1,P0004,280224,LLRv1,1
995,2,0.78323834,0.768302847,0.500476367,1.106583085,0.026392309,20,280224.00,P0004,R4,R1,T2mimics,1,LLRv1,P0004,280224,LLRv1,1
