;Unnamed: 0;SegId;Mean;Min;Max;Variance;Count;Volume;x;y;z;StructName;sub;ses;run;acq;rec;side;StructNameNoSide
49;1;13;0.266748429;0.248809129;0.288639575;7.97E-05;53;1142.241333;107.5471698;94.71698113;-91.02147532;Left-Pallidum;a3b8Im;1;1;R4;LLRv1;Left;Pallidum
50;24;14;0.378204034;0.294292301;0.499698728;0.002689021;47;1012.93103;90.42553191;103.6170213;-91.85620446;3rd-Ventricle;a3b8Im;1;1;R4;LLRv1;;None
51;11;15;0.392348656;0.314411581;0.518600225;0.002618038;63;1357.758545;94.24603175;130.8730159;-119.2665616;4th-Ventricle;a3b8Im;1;1;R4;LLRv1;;None
52;18;16;0.291292006;0.223829895;0.491109252;0.000621825;687;14806.03418;91.3573508;116.9541485;-114.6815284;Brain-Stem;a3b8Im;1;1;R4;LLRv1;;None
53;20;17;0.330024998;0.267630547;0.394698083;0.000853369;179;3857.758545;113.5614525;110.7541899;-102.1190569;Left-Hippocampus;a3b8Im;1;1;R4;LLRv1;Left;Hippocampus
54;27;18;0.348777245;0.30451718;0.383768529;0.000452252;65;1400.862061;109.2307692;94.5;-105.1458933;Left-Amygdala;a3b8Im;1;1;R4;LLRv1;Left;Amygdala
55;3;24;0.350752839;0;0.955790281;0.006731308;14464;311724.125;87.46145603;107.3055517;-80.439193;CSF;a3b8Im;1;1;R4;LLRv1;;None
56;33;26;0.324171721;0.285829544;0.360436082;0.000430222;35;754.3103027;98.35714286;81;-95.17241864;Left-Accumbens-area;a3b8Im;1;1;R4;LLRv1;Left;Accumbens-area
57;16;28;0.277132735;0.254588485;0.3477211;0.000249776;153;3297.413574;99.90196078;105.8006536;-97.43070123;Left-VentralDC;a3b8Im;1;1;R4;LLRv1;Left;VentralDC
58;35;31;0.313773517;0.283705682;0.352979898;0.000377025;29;625;106.2068966;115.2586207;-85.49346518;Left-choroid-plexus;a3b8Im;1;1;R4;LLRv1;Left;choroid-plexus
59;8;41;0.277291278;0;0.395306498;0.000597759;8849;190711.2031;69.65956605;114.2965307;-72.58720581;Right-Cerebral-White-Matter;a3b8Im;1;1;R4;LLRv1;Right;Cerebral-White-Matter
60;0;42;0.31670298;0;0.466651887;0.001113952;7496;161551.7188;66.68556564;116.6415422;-78.7643116;Right-Cerebral-Cortex;a3b8Im;1;1;R4;LLRv1;Right;Cerebral-Cortex
61;25;43;0.433207048;0.263834387;7.618653774;0.238920092;443;9547.413086;80.62076749;102.6241535;-78.39184758;Right-Lateral-Ventricle;a3b8Im;1;1;R4;LLRv1;Right;Lateral-Ventricle
62;10;44;0.370187687;0.300128371;0.43221876;0.00123478;25;538.7930908;62.9;104.5;-107.3103495;Right-Inf-Lat-Vent;a3b8Im;1;1;R4;LLRv1;Right;Inf-Lat-Vent
63;21;46;0.30172;0.255154639;0.39878127;0.000395976;826;17801.72266;77.87530266;141.6192494;-119.3120191;Right-Cerebellum-White-Matter;a3b8Im;1;1;R4;LLRv1;Right;Cerebellum-White-Matter
64;7;47;0.321304048;0;0.441398561;0.000757934;1902;40991.37891;75.27076761;150.3956362;-122.3630342;Right-Cerebellum-Cortex;a3b8Im;1;1;R4;LLRv1;Right;Cerebellum-Cortex
65;5;49;0.284048259;0.246460065;0.330632955;0.000324107;213;4590.51709;81.76056338;111.1737089;-85.31650169;Right-Thalamus;a3b8Im;1;1;R4;LLRv1;Right;Thalamus
66;31;50;0.30451611;0.250300646;0.371625304;0.000722967;86;1853.448242;76.13372093;87.61627907;-80.47314062;Right-Caudate;a3b8Im;1;1;R4;LLRv1;Right;Caudate
67;15;51;0.296282585;0.250976771;0.354207844;0.000555603;233;5021.551758;66.56652361;95.49356223;-89.25559175;Right-Putamen;a3b8Im;1;1;R4;LLRv1;Right;Putamen
68;22;52;0.26919939;0.248079702;0.300662935;0.000155965;73;1573.275757;71.40410959;98.83561644;-90.17478056;Right-Pallidum;a3b8Im;1;1;R4;LLRv1;Right;Pallidum
