,Unnamed: 0,Pos,WM,GM,sub,ses,run,acq,rec,site
152,152,0.38074,0.138810612,1.845313692,TeTolj,1,1,R4,LLRv1,Tommies
153,153,0.383235,0.190866871,1.653113262,TeTolj,1,1,R4,LLRv1,Tommies
154,154,0.38573,0.069406135,1.576224273,TeTolj,1,1,R4,LLRv1,Tommies
155,155,0.388225,0.121460736,1.403224048,TeTolj,1,1,R4,LLRv1,Tommies
156,156,0.39071998,0.069405306,1.037988952,TeTolj,1,1,R4,LLRv1,Tommies
157,157,0.393215,0.104109202,0.845778878,TeTolj,1,1,R4,LLRv1,Tommies
158,158,0.39571,0.104109202,0.865001125,TeTolj,1,1,R4,LLRv1,Tommies
159,159,0.39820498,0.052053979,0.826546758,TeTolj,1,1,R4,LLRv1,Tommies
160,160,0.4007,0.13881227,0.826556631,TeTolj,1,1,R4,LLRv1,Tommies
161,161,0.403195,0.104109202,0.807334384,TeTolj,1,1,R4,LLRv1,Tommies
162,162,0.40568998,0,0.749658687,TeTolj,1,1,R4,LLRv1,Tommies
163,163,0.408185,0.034703067,0.615111911,TeTolj,1,1,R4,LLRv1,Tommies
164,164,0.41068,0.086757669,0.499778428,TeTolj,1,1,R4,LLRv1,Tommies
165,165,0.413175,0.086756632,0.3267743,TeTolj,1,1,R4,LLRv1,Tommies
166,166,0.41567,0.069406135,0.422889439,TeTolj,1,1,R4,LLRv1,Tommies
167,167,0.418165,0.069406135,0.269111461,TeTolj,1,1,R4,LLRv1,Tommies
168,168,0.42066,0.017351534,0.192222472,TeTolj,1,1,R4,LLRv1,Tommies
169,169,0.42315498,0.086756632,0.288330264,TeTolj,1,1,R4,LLRv1,Tommies
170,170,0.42565,0.017351534,0.192222472,TeTolj,1,1,R4,LLRv1,Tommies
171,171,0.428145,0.017351534,0.21144472,TeTolj,1,1,R4,LLRv1,Tommies
172,172,0.43063998,0.069405306,0.192220176,TeTolj,1,1,R4,LLRv1,Tommies
173,173,0.433135,0.086757669,0.230666967,TeTolj,1,1,R4,LLRv1,Tommies
174,174,0.43563,0.034703067,0.269111461,TeTolj,1,1,R4,LLRv1,Tommies
175,175,0.43812498,0.086756632,0.134554123,TeTolj,1,1,R4,LLRv1,Tommies
176,176,0.44062,0.069406135,0.076888989,TeTolj,1,1,R4,LLRv1,Tommies
177,177,0.443115,0.017351534,0.21144472,TeTolj,1,1,R4,LLRv1,Tommies
178,178,0.44561,0.017351326,0.115332106,TeTolj,1,1,R4,LLRv1,Tommies
179,179,0.448105,0.017351534,0.076888989,TeTolj,1,1,R4,LLRv1,Tommies
180,180,0.4506,0.017351534,0.019222247,TeTolj,1,1,R4,LLRv1,Tommies
181,181,0.453095,0.034703067,0.038444494,TeTolj,1,1,R4,LLRv1,Tommies
182,182,0.45558998,0.034702653,0.096110088,TeTolj,1,1,R4,LLRv1,Tommies
183,183,0.458085,0.052054601,0.038444494,TeTolj,1,1,R4,LLRv1,Tommies
184,184,0.46058,0.034703067,0.038444494,TeTolj,1,1,R4,LLRv1,Tommies
185,185,0.46307498,0,0.057666053,TeTolj,1,1,R4,LLRv1,Tommies
186,186,0.46557,0.017351534,0.038444494,TeTolj,1,1,R4,LLRv1,Tommies
187,187,0.468065,0.017351534,0.038444494,TeTolj,1,1,R4,LLRv1,Tommies
188,188,0.47055998,0.034702653,0.057666053,TeTolj,1,1,R4,LLRv1,Tommies
189,189,0.473055,0.017351534,0.038444494,TeTolj,1,1,R4,LLRv1,Tommies
190,190,0.47555,0.017351534,0,TeTolj,1,1,R4,LLRv1,Tommies
191,191,0.478045,0,0.019222018,TeTolj,1,1,R4,LLRv1,Tommies
192,192,0.48054,0.017351534,0.019222247,TeTolj,1,1,R4,LLRv1,Tommies
193,193,0.483035,0,0.057666742,TeTolj,1,1,R4,LLRv1,Tommies
194,194,0.48553,0,0.038444494,TeTolj,1,1,R4,LLRv1,Tommies
195,195,0.48802498,0.034702653,0.057666053,TeTolj,1,1,R4,LLRv1,Tommies
196,196,0.49052,0.017351534,0,TeTolj,1,1,R4,LLRv1,Tommies
197,197,0.493015,0,0.019222247,TeTolj,1,1,R4,LLRv1,Tommies
198,198,0.49550998,0.017351326,0,TeTolj,1,1,R4,LLRv1,Tommies
199,199,0.498005,0,0,TeTolj,1,1,R4,LLRv1,Tommies
200,0,0.0015,0.310551782,0.342777045,TeTolj,1,2,R4,LLRv1,Tommies
201,1,0.003995,0,0,TeTolj,1,2,R4,LLRv1,Tommies
202,2,0.00649,0,0,TeTolj,1,2,R4,LLRv1,Tommies
203,3,0.008985,0,0,TeTolj,1,2,R4,LLRv1,Tommies
204,4,0.01148,0.017252877,0,TeTolj,1,2,R4,LLRv1,Tommies
205,5,0.013975,0,0,TeTolj,1,2,R4,LLRv1,Tommies
206,6,0.016469998,0,0,TeTolj,1,2,R4,LLRv1,Tommies
207,7,0.018964998,0,0,TeTolj,1,2,R4,LLRv1,Tommies
208,8,0.021459999,0,0,TeTolj,1,2,R4,LLRv1,Tommies
209,9,0.023954999,0,0,TeTolj,1,2,R4,LLRv1,Tommies
210,10,0.026449999,0,0,TeTolj,1,2,R4,LLRv1,Tommies
211,11,0.028944999,0,0,TeTolj,1,2,R4,LLRv1,Tommies
212,12,0.03144,0,0,TeTolj,1,2,R4,LLRv1,Tommies
213,13,0.033935,0,0,TeTolj,1,2,R4,LLRv1,Tommies
214,14,0.03643,0,0.019043183,TeTolj,1,2,R4,LLRv1,Tommies
215,15,0.038925,0,0,TeTolj,1,2,R4,LLRv1,Tommies
216,16,0.04142,0,0,TeTolj,1,2,R4,LLRv1,Tommies
217,17,0.043915,0,0,TeTolj,1,2,R4,LLRv1,Tommies
218,18,0.04641,0,0,TeTolj,1,2,R4,LLRv1,Tommies
219,19,0.048905,0,0,TeTolj,1,2,R4,LLRv1,Tommies
220,20,0.051400002,0,0,TeTolj,1,2,R4,LLRv1,Tommies
221,21,0.053895,0,0,TeTolj,1,2,R4,LLRv1,Tommies
222,22,0.056390002,0,0.019043183,TeTolj,1,2,R4,LLRv1,Tommies
223,23,0.058885,0,0,TeTolj,1,2,R4,LLRv1,Tommies
224,24,0.061380003,0,0,TeTolj,1,2,R4,LLRv1,Tommies
225,25,0.063875005,0,0,TeTolj,1,2,R4,LLRv1,Tommies
226,26,0.06637,0,0,TeTolj,1,2,R4,LLRv1,Tommies
227,27,0.068865,0,0,TeTolj,1,2,R4,LLRv1,Tommies
228,28,0.07136,0,0,TeTolj,1,2,R4,LLRv1,Tommies
229,29,0.073855,0,0,TeTolj,1,2,R4,LLRv1,Tommies
230,30,0.07635,0,0,TeTolj,1,2,R4,LLRv1,Tommies
231,31,0.078845,0,0,TeTolj,1,2,R4,LLRv1,Tommies
232,32,0.08134,0,0,TeTolj,1,2,R4,LLRv1,Tommies
233,33,0.083835,0,0,TeTolj,1,2,R4,LLRv1,Tommies
234,34,0.086330004,0,0,TeTolj,1,2,R4,LLRv1,Tommies
235,35,0.088825,0,0,TeTolj,1,2,R4,LLRv1,Tommies
236,36,0.09132,0,0,TeTolj,1,2,R4,LLRv1,Tommies
237,37,0.093815,0,0,TeTolj,1,2,R4,LLRv1,Tommies
238,38,0.096310005,0,0,TeTolj,1,2,R4,LLRv1,Tommies
239,39,0.098805,0,0,TeTolj,1,2,R4,LLRv1,Tommies
240,40,0.1013,0,0,TeTolj,1,2,R4,LLRv1,Tommies
241,41,0.103795,0,0,TeTolj,1,2,R4,LLRv1,Tommies
242,42,0.10629,0,0.019043126,TeTolj,1,2,R4,LLRv1,Tommies
243,43,0.108785,0,0,TeTolj,1,2,R4,LLRv1,Tommies
244,44,0.11128,0,0,TeTolj,1,2,R4,LLRv1,Tommies
245,45,0.113775,0,0,TeTolj,1,2,R4,LLRv1,Tommies
246,46,0.11627,0,0,TeTolj,1,2,R4,LLRv1,Tommies
247,47,0.118765004,0,0,TeTolj,1,2,R4,LLRv1,Tommies
248,48,0.12126,0,0,TeTolj,1,2,R4,LLRv1,Tommies
249,49,0.123755,0,0,TeTolj,1,2,R4,LLRv1,Tommies
250,50,0.12625,0,0.01904324,TeTolj,1,2,R4,LLRv1,Tommies
251,51,0.12874499,0,0,TeTolj,1,2,R4,LLRv1,Tommies
252,52,0.13124,0,0,TeTolj,1,2,R4,LLRv1,Tommies
253,53,0.13373499,0,0,TeTolj,1,2,R4,LLRv1,Tommies
254,54,0.13622999,0,0,TeTolj,1,2,R4,LLRv1,Tommies
255,55,0.138725,0,0.01904324,TeTolj,1,2,R4,LLRv1,Tommies
256,56,0.14121999,0,0,TeTolj,1,2,R4,LLRv1,Tommies
257,57,0.143715,0,0,TeTolj,1,2,R4,LLRv1,Tommies
258,58,0.14621,0,0.01904324,TeTolj,1,2,R4,LLRv1,Tommies
259,59,0.14870499,0,0,TeTolj,1,2,R4,LLRv1,Tommies
260,60,0.1512,0,0,TeTolj,1,2,R4,LLRv1,Tommies
