;Unnamed: 0;SegId;Mean;Min;Max;Variance;Count;Volume;x;y;z;StructName;sub;ses;run;acq;rec;side;StructNameNoSide
974;8;5;0.391665422;0.30143556;0.506119192;0.002927953;35;754.3103027;120.3571429;113.2142857;-121.7734034;Left-Inf-Lat-Vent;QlA4b9;1;1;R4;CGv1;Left;Inf-Lat-Vent
975;4;7;0.30715765;0.250213683;0.435815394;0.00056075;952;20517.24023;104.7321429;153.5898109;-134.3016559;Left-Cerebellum-White-Matter;QlA4b9;1;1;R4;CGv1;Left;Cerebellum-White-Matter
976;34;8;0.33027946;0;0.543913245;0.001209089;2676;57672.41016;108.2744768;162.8437967;-139.5520891;Left-Cerebellum-Cortex;QlA4b9;1;1;R4;CGv1;Left;Cerebellum-Cortex
977;2;10;0.298422433;0.253553212;0.400946647;0.0005717;303;6530.172363;100.9158416;115.8580858;-97.80357827;Left-Thalamus;QlA4b9;1;1;R4;CGv1;Left;Thalamus
978;35;11;0.315614545;0.241772205;0.396868259;0.001062579;162;3491.37915;106.2654321;91.2808642;-95.59387457;Left-Caudate;QlA4b9;1;1;R4;CGv1;Left;Caudate
979;11;12;0.301236025;0.233132735;0.364712179;0.000631606;328;7068.965332;115.5945122;100.472561;-103.7952108;Left-Putamen;QlA4b9;1;1;R4;CGv1;Left;Putamen
980;0;13;0.279583576;0.24701038;0.323182255;0.000261894;53;1142.241333;108.8207547;105.3301887;-104.8145785;Left-Pallidum;QlA4b9;1;1;R4;CGv1;Left;Pallidum
981;9;14;0.39347995;0.310451567;0.510656416;0.00242602;64;1379.310303;90.78125;106.796875;-105.2801771;3rd-Ventricle;QlA4b9;1;1;R4;CGv1;;None
982;30;15;0.43319884;0.303515494;0.909043789;0.011596853;113;2435.344727;88.84955752;142.3893805;-130.5462356;4th-Ventricle;QlA4b9;1;1;R4;CGv1;;None
983;33;16;0.290603816;0.215991497;0.43063733;0.000827411;922;19870.68945;88.92624729;127.2912148;-130.9970871;Brain-Stem;QlA4b9;1;1;R4;CGv1;;None
984;31;17;0.345924039;0.275166869;0.461953491;0.001084811;197;4245.689453;112.6649746;122.5634518;-115.3684624;Left-Hippocampus;QlA4b9;1;1;R4;CGv1;Left;Hippocampus
985;26;18;0.377279643;0.320305347;0.447327614;0.000759944;80;1724.137939;112.8125;106.125;-120.8189699;Left-Amygdala;QlA4b9;1;1;R4;CGv1;Left;Amygdala
986;18;24;0.333994568;0;3.871982098;0.020777137;19267;415237.0625;86.86809052;113.5956558;-93.56287725;CSF;QlA4b9;1;1;R4;CGv1;;None
987;21;26;0.346940557;0.305001348;0.384257108;0.000468315;37;797.4137573;103.1081081;88.44594595;-110.6244221;Left-Accumbens-area;QlA4b9;1;1;R4;CGv1;Left;Accumbens-area
988;24;28;0.295076582;0.259698689;0.396263152;0.00060879;172;3706.896484;99.98546512;115.0290698;-111.3873342;Left-VentralDC;QlA4b9;1;1;R4;CGv1;Left;VentralDC
989;16;31;0.33481711;0.285681754;0.400093973;0.000649132;31;668.1034546;107.983871;123.3870968;-100.0000048;Left-choroid-plexus;QlA4b9;1;1;R4;CGv1;Left;choroid-plexus
990;12;41;0.288561435;0.205853343;0.471724004;0.001105118;11303;243599.125;66.99924799;110.4054233;-81.53649066;Right-Cerebral-White-Matter;QlA4b9;1;1;R4;CGv1;Right;Cerebral-White-Matter
991;17;42;0.330238447;0;0.552536011;0.004246136;10583;228081.8906;61.75281111;113.4553057;-89.67765974;Right-Cerebral-Cortex;QlA4b9;1;1;R4;CGv1;Right;Cerebral-Cortex
992;3;43;0.332975787;0.241433844;0.653432548;0.004731695;411;8857.758789;80.21289538;106.0705596;-89.96560608;Right-Lateral-Ventricle;QlA4b9;1;1;R4;CGv1;Right;Lateral-Ventricle
993;29;44;0.345763914;0.307910293;0.380194455;0.000435451;11;237.0689545;61.36363636;105.6818182;-119.4357411;Right-Inf-Lat-Vent;QlA4b9;1;1;R4;CGv1;Right;Inf-Lat-Vent
994;32;46;0.314161019;0.228611454;0.436996192;0.000823025;1208;26034.48242;69.5281457;150.7657285;-132.5787893;Right-Cerebellum-White-Matter;QlA4b9;1;1;R4;CGv1;Right;Cerebellum-White-Matter
995;28;47;0.338177981;0;0.622955441;0.001932009;2352;50689.65234;65.51551871;158.7563776;-136.9766051;Right-Cerebellum-Cortex;QlA4b9;1;1;R4;CGv1;Right;Cerebellum-Cortex
996;5;49;0.292633267;0.243332222;0.34866789;0.000352354;268;5775.861816;80.00932836;112.630597;-96.69326267;Right-Thalamus;QlA4b9;1;1;R4;CGv1;Right;Thalamus
997;6;50;0.304423002;0.225786686;0.403660446;0.000940371;170;3663.792969;80.38235294;87.95588235;-92.75862558;Right-Caudate;QlA4b9;1;1;R4;CGv1;Right;Caudate
998;10;51;0.301474419;0.252149075;0.364697546;0.000357688;290;6250;69.4137931;94.73275862;-102.0095172;Right-Putamen;QlA4b9;1;1;R4;CGv1;Right;Putamen
999;1;52;0.282958323;0.262745559;0.320073307;0.00017643;48;1034.482666;73.95833333;100.1041667;-102.2988553;Right-Pallidum;QlA4b9;1;1;R4;CGv1;Right;Pallidum
1000;19;53;0.335869192;0.278775066;0.411119848;0.000688247;195;4202.585938;66.52564103;116.0897436;-113.0857694;Right-Hippocampus;QlA4b9;1;1;R4;CGv1;Right;Hippocampus
1001;13;54;0.364059663;0.286573708;0.432360172;0.000743603;87;1875;70.14367816;100.6896552;-119.1042454;Right-Amygdala;QlA4b9;1;1;R4;CGv1;Right;Amygdala
1002;23;58;0.350629792;0.277551264;0.464797318;0.001657616;29;625;84.9137931;86.81034483;-107.4910867;Head-ExtraCerebral;QlA4b9;1;1;R4;CGv1;;None
1003;15;60;0.289026091;0.252311081;0.361535519;0.000425559;151;3254.310303;80.67880795;111.8708609;-110.3219959;Right-VentralDC;QlA4b9;1;1;R4;CGv1;Right;VentralDC
1004;37;62;0.317216396;0.316837609;0.317595184;2.87E-07;2;43.10344696;65;96.25;-110.3448322;;QlA4b9;1;1;R4;CGv1;;None
1005;39;63;0.334055013;0.269985676;0.445204496;0.001326934;49;1056.034424;76.73469388;118.1632653;-95.14426945;Right-choroid-plexus;QlA4b9;1;1;R4;CGv1;Right;choroid-plexus
1006;25;77;0.268991732;0.250107884;0.28840515;0.000145798;9;193.9655151;100.5555556;100.8333333;-93.48659492;WM-hypointensities;QlA4b9;1;1;R4;CGv1;;None
1007;27;165;0.025601377;0;0.608256578;0.00706991;19287;415668.0938;93.90742469;114.0971898;-98.95606416;;QlA4b9;1;1;R4;CGv1;;None
