,LabelValue,Mean,Median,Min,Max,Variance,Count,Session,Subject,Acquisition,Quant,Segmentation,Run,Reconstruction,site,date,sub,ses,rec,run
157,4,1.405087921,1.451973922,1.024163464,1.73554259,0.037574837,19,3,P0007,R4,R1,T2mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
158,5,1.983290421,1.934345178,1.712114907,2.422069611,0.038946467,21,3,P0007,R4,R1,T2mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
159,6,2.403675242,2.408538898,2.247784466,2.577673916,0.009056783,19,3,P0007,R4,R1,T2mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
160,7,3.128507106,3.035671623,2.810072011,3.833458185,0.058896434,19,3,P0007,R4,R1,T2mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
161,8,4.220281545,4.161380458,3.906571802,4.998031512,0.070542962,19,3,P0007,R4,R1,T2mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
162,9,6.076529374,6.09603041,5.88040503,6.305941536,0.011936922,19,3,P0007,R4,R1,T2mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
163,10,8.408275395,8.45778475,7.888544302,8.668228249,0.037587941,21,3,P0007,R4,R1,T2mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
164,11,11.21134468,11.33534116,10.2837494,11.97870535,0.315862346,19,3,P0007,R4,R1,T2mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
165,12,1.18516E+15,16.35403092,13.49801227,4.5036E+15,3.93E+30,19,3,P0007,R4,R1,T2mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
166,13,9.48126E+14,21.31259478,16.29733091,4.5036E+15,3.37E+30,19,3,P0007,R4,R1,T2mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
167,14,75.31223404,24.839394,15.94698222,999.9993704,47519.09423,19,3,P0007,R4,R1,T2mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
168,1,1.447633266,1.323424459,0.702029705,2.640874624,0.237154395,25,6,P0007,R4,T1,T1mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
169,2,1.294026996,1.281990767,0.679522157,2.254919529,0.149025907,24,6,P0007,R4,T1,T1mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
170,3,1.29666876,1.24275744,0.835741162,2.020874977,0.082811242,24,6,P0007,R4,T1,T1mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
171,4,0.663561394,0.653862059,0.500712633,0.803940713,0.006064006,24,6,P0007,R4,T1,T1mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
172,5,0.488497893,0.493669435,0.421616107,0.54192692,0.00077694,24,6,P0007,R4,T1,T1mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
173,6,0.352546468,0.356448352,0.290255398,0.371511608,0.000314788,23,6,P0007,R4,T1,T1mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
174,7,0.259551835,0.263983503,0.222260281,0.281237781,0.000206758,24,6,P0007,R4,T1,T1mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
175,8,0.192536959,0.193087496,0.181846961,0.203447536,3.58E-05,24,6,P0007,R4,T1,T1mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
176,9,0.141262439,0.141158074,0.138803795,0.145121247,2.39E-06,22,6,P0007,R4,T1,T1mimics,1,LLRv1,Cubric,20242818,P0007,6,LLRv1,1
